
City,Z,City,Z,City,Z,City,Z
Bagerhat,0.12,Gaibandha,0.28,Magura,0.12,Patuakhali,0.12
Bandarban,0.28,Gazipur,0.2,Manikganj,0.2,Pirojpur,0.12
Barguna,0.12,Gopalganj,0.12,Maulvibazar,0.36,Rajbari,0.2
Barisal,0.12,Habiganj,0.36,Meherpur,0.12,Rajshahi,0.12
Bhola,0.12,Jaipurhat,0.2,Mongla,0.12,Rangamati,0.28
Bogra,0.28,Jamalpur,0.36,Munshiganj,0.2,Rangpur,0.28
Brahmanbaria,0.28,Jessore,0.12,Mymensingh,0.36,Satkhira,0.12
Chandpur,0.2,Jhalokati,0.12,Narail,0.12,Shariatpur,0.2
Chapainababganj,0.12,Jhenaidah,0.12,Narayanganj,0.2,Sherpur,0.36
Chittagong,0.28,Khagrachari,0.28,Narsingdi,0.28,Sirajganj,0.28
Chuadanga,0.12,Khulna,0.12,Natore,0.2,Srimangal,0.36
Comilla,0.2,Kishoreganj,0.36,Naogaon,0.2,Sunamganj,0.36
Cox's Bazar,0.28,Kurigram,0.36,Netrakona,0.36,Sylhet,0.36
Dhaka,0.2,Kushtia,0.2,Nilphamari,0.12,Tangail,0.28
Dinajpur,0.2,Lakshmipur,0.2,Noakhali,0.2,Thakurgaon,0.2
Faridpur ,0.2,Lalmanirhat,0.28,Pabna,0.2,,
Feni,0.2,Madaripur,0.2,Panchagarh,0.2,,
